time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,12.9,65,6.1,2025-12-11,0,mild,11.6
2025-12-11 01:00:00,12.1,69,3.8,2025-12-11,1,mild,10.719999999999999
2025-12-11 02:00:00,11.5,79,2.7,2025-12-11,2,mild,9.92
2025-12-11 03:00:00,10.9,82,2.3,2025-12-11,3,mild,9.26
2025-12-11 04:00:00,10.5,83,3.4,2025-12-11,4,mild,8.84
2025-12-11 05:00:00,10.3,82,6.9,2025-12-11,5,mild,8.66
2025-12-11 06:00:00,10.0,82,8.6,2025-12-11,6,cold,8.36
2025-12-11 07:00:00,9.8,80,9.7,2025-12-11,7,cold,8.200000000000001
2025-12-11 08:00:00,9.5,80,9.3,2025-12-11,8,cold,7.9
2025-12-11 09:00:00,10.2,76,6.6,2025-12-11,9,mild,8.68
2025-12-11 10:00:00,11.7,68,3.8,2025-12-11,10,mild,10.34
2025-12-11 11:00:00,13.4,61,6.3,2025-12-11,11,mild,12.18
2025-12-11 12:00:00,15.4,54,11.5,2025-12-11,12,mild,14.32
2025-12-11 13:00:00,17.0,50,10.2,2025-12-11,13,mild,16.0
2025-12-11 14:00:00,18.1,46,8.0,2025-12-11,14,mild,17.18
2025-12-11 15:00:00,19.2,42,8.6,2025-12-11,15,mild,18.36
2025-12-11 16:00:00,19.8,39,8.7,2025-12-11,16,mild,19.02
2025-12-11 17:00:00,20.1,36,9.7,2025-12-11,17,warm,19.380000000000003
2025-12-11 18:00:00,19.6,36,11.1,2025-12-11,18,mild,18.880000000000003
2025-12-11 19:00:00,17.4,40,7.8,2025-12-11,19,mild,16.599999999999998
2025-12-11 20:00:00,16.0,43,11.9,2025-12-11,20,mild,15.14
2025-12-11 21:00:00,14.8,47,11.3,2025-12-11,21,mild,13.860000000000001
2025-12-11 22:00:00,13.9,51,10.6,2025-12-11,22,mild,12.88
2025-12-11 23:00:00,13.0,54,8.0,2025-12-11,23,mild,11.92
